"outcome","term","num_df","den_df","statistic","p_value","fdr_within_model"
"Chao1","time_value",1,31.9999999996057,1.36448644904076,0.251390991615611,0.434296419125045
"Chao1","group_value",2,31.9999999996502,0.481872851763561,0.622034926906903,0.622034926906903
"Chao1","time_value:group_value",2,31.9999999995967,1.28876797304444,0.289530946083363,0.434296419125045
"Shannon","time_value",1,19.8032112773702,0.0345658717179476,0.854399477734342,0.854399477734342
"Shannon","group_value",2,28.2226760739509,0.575470644272709,0.568902533208094,0.854399477734342
"Shannon","time_value:group_value",2,28.7830287643468,0.290901801475219,0.749761015964765,0.854399477734342
