"group","emmean","SE","df","lower.CL","upper.CL","outcome","time_at"
"Mild",3.97774665034534,0.0675226464813854,36.4776416094418,3.84086661088166,4.11462668980902,"Chao1",4.5
"Mod",3.96749493109921,0.0695866627482255,27.8170687524233,3.82491087141602,4.11007899078241,"Chao1",4.5
"Neg",3.93819146955638,0.0297873819089237,5.35464498455527,3.86312107207729,4.01326186703548,"Chao1",4.5
"Mild",3.14648357304716,0.183031984592526,25.8106587031585,2.77012156987284,3.52284557622149,"Shannon",4.5
"Mod",2.84122592585058,0.182489554243815,24.3661379080004,2.46488527041659,3.21756658128457,"Shannon",4.5
"Neg",3.06413387591333,0.130389971862114,6.98032621069308,2.7556343373222,3.37263341450446,"Shannon",4.5
