,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Species
118,0,0.0195791589088867,0.00721870342771982,0.0135612962269645,0.0138763537906137,0.0208495911512232,0.0175611313625841,0.00862453104112464,0.0108236773556095,0.042053226789463,0.00161124538155957,0.00474861833986157,0.022299158662795,0.00849499175859009,0.00392464678178964,0.0128953292680261,0.012558977438449,0.00157013258897418,0.012182235071279,0.0203828185061799,0.00698390961999315,0.00640315564801556,0.0119201143215643,0.0106006173151849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314881044938579,0.00392656807751147,0.000324191143097971,0.0153358316517728,0.00385850104951229,0.0207493004833024,0.00407814247188055,0.00478190918841616,0,0.00148232611174458,0.00961538461538462,0.00639846102375376,0.00469093574395309,0.00506345137504351,0.012662373103373,0,0,0.00121093299504094,0.000949667616334283,0.000760070939954396,0.0014844871097036,0.00941126521369941,0.00498406732576191,0.00563585731335367,Capnocytophaga NA
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100224838992416,0.0084012584012584,0,0.0235451938199648,0.0381798348137759,0.0264331874087972,0,0.083257328990228,0.0464442028379471,0.00871135663444173,0.00717367312130029,0,0.0413317639145788,0.0254665774407019,0.0170323456231622,0.0111937965105372,0.0201530088313822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collinsella aerofaciens
150,0.0556761292936308,0.0178946124065372,0.0114102086438152,0.0895211947252382,0.0193817689530686,0.039425915244461,0.0897214165979299,0.0082508013626759,0.0218943680948531,0.0322678946299181,0.0175570186404423,0.0120459301389709,0.00813416722507632,0.0233548877900342,0.116758241758242,0.00854588770135292,0.00552457750707729,0.0250971986840794,0.0038281327883561,0.00969859449230223,0.00974552094031724,0.0250992894388458,0.0534313896343801,0.0271466882558316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043616855854455,0.0178990311065783,0.00139402191532127,0,0.00274725274725275,0,0.0166743405906729,0.0116195924204505,0.0187218192511272,0.0174458380843786,0.124793217535153,0.0201572432251589,0.00693867578793061,0.0171207949618659,0.0154459120183386,0.00518838789376158,0.0019956955585991,0.0102064352439165,0.00395694840139285,0.000506713959969597,0.00776881587411549,0.0093405038211152,0.0313751123457799,0.0141227953852274,Corynebacterium matruchotii
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684428973088767,0.00960329255744827,0.0438295438295438,0.00258781605294417,0.046997872143584,0.0583216456287985,0.0393996247654784,0.00185924003563543,0.0386536373507058,0.012015276964679,0.0585714791600269,0.101660479582623,0.011274909684186,0.0753321002185976,0.0202617294966168,0.0247907713187062,0.0225126633731474,0.0613575682891764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium NA
190,0,0,0,0,0,0,0.000106431099167177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243978948102192,0,0.0454679341277279,0.136580160817042,0.0463320463320463,0.094009842185644,0.0677213433250069,0.0137135733208664,0.0403585574317282,0.0166169578184917,0.01185667752443,0.0296339661565053,0.0669995396437551,0.055232266479382,0.049965039039739,0.0315789473684211,0.0558777604282846,0.123750282741461,0.103745857044588,0.0513965906757034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium prausnitzii
203,0.0210377058193709,0.0336761533232852,0.0221451192250373,0.0337784433628687,0.0373871841155235,0.0926271502731313,0.0194236755980097,0.071411117020512,0.00181891673403395,0.0873908038193269,0.0332249909714698,0.0225089874979879,0.0246817064998883,0.0214530239634842,0.0335164835164835,0.0539855310034315,0.0107746418461011,0.0124613697537633,0.0384408334164091,0.0477044688442508,0.0497090037658336,0.0279091130143463,0.0207382105886863,0.109320447300511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105349090343648,0,0,0.00190256558085904,0,0.000363385297430866,0,0.00536288880943868,0,0.00900798175598632,0,0,0,0,0.000873267110577448,0.00172946263125386,0,0.00115326951908661,0,0,0.000989658073135732,0.00169827342202095,0.0216520957594575,0,Fusobacterium NA
204,0.0247996064473189,0.0246623518633449,0.00640368852459016,0.0234202753858314,0.0123420577617329,0.0193566993519492,0.0410291887289466,0.0231568658454197,0.00114524386957693,0.0392090471998375,0.015417951495958,0.0365938724043569,0.0185019730474276,0.0104982883225561,0.014010989010989,0.0408934933228422,0.00360298533070258,0.0305552786362277,0.0127405044362476,0.0335902540952907,0.0296473810338925,0.0236133250479561,0.0248161444355373,0.0380256034002935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178432592131861,0.00604283528811831,0.00087531608636452,0.00841741135773998,0.00154340041980491,0.00167157236818198,0.00236795369335,0.00531819806936003,0.0002940599882376,0.0176738882554162,0.00310173697270471,0.0118768819003011,0,0.000569638279692395,0.000927846304988538,0.0086473131562693,0.000117393856388182,0.00334448160535117,0.00237416904083571,0,0.00217724776089861,0.0119586753467308,0,0.00430977323962339,Fusobacterium nucleatum
209,0.0110542003067396,0.0287259508821704,0.0100596125186289,0.0128125129997088,0.0235785198555957,0.0153869643402436,0.0161243115238273,0.0319826359441705,0.00134734572891404,0.0114782962009887,0.00844514820679501,0.00477544669206417,0.00802248529521257,0.0325091923418283,0.0178963893249608,0.0488055428059362,0.0349318006348117,0.0260941082643804,0.00636028312232081,0.0330383015632084,0.0272965879265092,0.044092616107854,0.0168694015544944,0.044477053078986,0,0.000228649822796387,0,0.000127269641948074,0.000231288740864095,0.000194795075580489,0,0.000658480845954216,0,0,0,0.000200662185211197,0,0,0.000371774853148933,0,0,0.000128363113575683,0.0186207432747629,0.0351096379398266,0.0229203138170265,0.094321130008648,0.0925114211631066,0.0513100039972383,0.0537065052950076,0.0518859492313193,0.00911585963536561,0.053363740022805,0.000620347394540943,0.0198226831716293,0.0603469337893965,0.0419317066995791,0.0742277043990831,0.0785670166769611,0.0532576795147721,0.088974743397532,0.01551123773346,0.0239422346085635,0.055173437577317,0.0155675063685253,0.0250837486722771,0.0473412014321708,Gemella NA
216,0.00671354573603033,0.0186334485917782,0.00512295081967213,0.0100669744997712,0.0195171480144404,0.0315373392596614,0.0163371737221616,0.00832267245468528,0.00783706098985,0.0138823051398388,0.0138344862071839,0.0118044749691474,0.0432767478222024,0.0519589197413465,0.0122841444270016,0.0710773064061373,0.0334734494295273,0.0151031801415612,0.0492872096500847,0.0277159021467011,0.0549583475978546,0.0400940210196417,0.0107002195810533,0.0137124930425543,0,0,0.000393250393250393,0.000169692855930765,0.000508835229901008,0,0,0,0.000825190010857763,0,0.000106236056517582,0.000175579412059797,5.82682671017364e-05,0.000437195224482933,0.00044612982377872,0,0,0,0,0,0,0.00386278466416835,0.00138906037782442,0,0,0.00384340364676439,0,0,0,0,0,0,0.000927846304988538,0,0,0,0,0,0,0,0,0,Granulicatella NA
223,0,0.00607323344268109,0.0101527570789866,0.000582386954532219,0.0145081227436823,0.00530994469514471,0.0132240640715217,0.00355043194526298,0.00125752268031977,0.00667027832328841,0.0373920048892963,0.00214626817620862,0.0218896582532946,0.00215544567009002,0.00769230769230769,0.0100758420212882,0.0311400875010723,0.00219320107666235,0.00179443724454192,0.0082398628003706,0.0118680817071779,0.00340420933185637,0.0110836150709282,0.00166978697566159,0.000160664078189851,0.00243893144316147,0.001001001001001,0,0,0.000973975377902447,0,0,0,0,0,0.000300993277816795,0.000291341335508682,0,0,0,0.00109436558063911,0.00141199424933251,0.00143834551391696,0.0121621621621622,0.0203267846722428,0.0351109829922168,0.00756266205704408,0.0222755187325121,0.046043544037361,0.0111279942795853,0.00558713977651441,0.0015963511972634,0.0261579818031431,0.00146370023419204,0.0122159784998778,0.00531662394379569,0.0233598952079467,0.0126003705991353,0.036900802191352,0.00945681005651021,0.00269072491294714,0.00291360526982518,0.0127665891434509,0.00863288989527314,0.00367677097802108,0.0248640763824426,Haemophilus parainfluenzae
251,0.0199959487224007,0.0130478470313562,0.00475037257824143,0.0184283872041266,0.0114169675090253,0.0147253418382927,0.0013569965143815,0.016702841782978,0.0116320847929579,0.0088711315771653,0.0157513126093841,0.00759242367333798,0.00253145707691162,0.0144795232661341,0.0143642072213501,0.00677551198828492,0.000411769752080295,0.0114146146944472,0.00480510417705114,0.00431705730450038,0.0105443341321465,0.00629508551049631,0.00498414136837336,0.00984162323533876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333851656041,0.0068332483426823,0.000745639629125332,0.00778322283078697,0.00321027287319422,0.00774010683527744,0.00263105965927777,0.00719520915266357,0,0.00250855188141391,0.0032051282051282,0.00556206088992974,0.0017102369899829,0.0120573435868224,0.00392970199759852,0.00370599135268684,0.000782625709254549,0.00720793449429132,0,0.00443374714973398,0.00291949131575041,0.00693461647325219,0.00433041915189149,0.0048402068691155,Lachnoanaerobaculum NA
