,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Order
1,0,0,0.000562271577171774,0.0010867278973568,0.00237525141269993,0.00237968588146365,0.00312182036814356,0.00165489453045366,0,0.0011407386282618,0,0.000114170890989633,0.00333761232349166,0.000795112152661533,0,0.0010462363025642,0.000924960725873941,0.00174777886435988,0.00114081881869015,0.000423721631836749,0.000242958865195208,0,9.04050144648023e-05,0.00429484195827868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000775795190069822,0,0.00212505976730596,0.000353961418205416,0.0012205458552297,0.000527066410367706,0.00138450222818327,0,0.000363108206245461,0,0.000595049190733101,0.00230813618003462,0.00315686548400615,0,0.0050744248985115,0,0.00104269564262979,0.0010202594373998,0,0.000132362673726009,0.00100840336134454,0.00346794081381011,0,Absconditabacteriales (SR1)
2,0,0,0,0,0,0,0,5.99599467555673e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175232665381068,0,0,0.0295384615384615,0,0.00602668962548429,0,0,0,0,0,0.0223211055639968,0,0.0154010695187166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acidaminococcales
3,0.046675332957249,0.00992355837646555,0.0270291979597574,0.0848699432097034,0.0226031989273058,0.010190654833562,0.0357737489593932,0.0281092230390099,0.0296846011131725,0.0267218023670327,0.0172703534217534,0.0129926473946203,0.0159017971758665,0.0168647472380315,0.0464133583233941,0.00899396119748169,0.00822187311887948,0.0254884417719149,0.00302075968892602,0.00945746682259623,0.0165959594071804,0.0267129691465206,0.0823589681774349,0.0253882283248001,0.000156854543553278,0.000477484757217366,0,0,0,0.000302446032286114,0,0.00180961357210179,0.000645716745587602,0,0,0,8.51692028162616e-05,0.00164614472904458,0,0.000172525339659262,0.000366692131398014,0,0.0984112642120322,0.0261588440651668,0.0285919854850314,0.0385698347766031,0.023921892513716,0.017562298694694,0.017486203261611,0.0472461385367542,0.0550093632958802,0.0187908496732026,0.0387589013224822,0.0308235480799746,0.0122064894136446,0.0222656795641849,0.0175438596491228,0.0199594046008119,0.0163778689770482,0.0206343979804632,0.00859932954379828,0.0151954529636933,0.0168100595632032,0.0420840336134454,0.061189889025894,0.0246192104445135,Actinomycetales
4,0.0572465723185598,0.169519060032491,0.0523314189324873,0.168127322442684,0.0818695527248348,0.115652733839133,0.0656276015169735,0.147969156603389,0.0215018064642125,0.14775417082561,0.0410300162879082,0.169361099694022,0.145603337612323,0.174359725477067,0.0939853467370932,0.117196820910042,0.0429152412972941,0.196042529285699,0.128076997236326,0.185437534957035,0.200515820359953,0.0877075820310761,0.040832931533269,0.125692887064698,0.349759489699885,0.170204951149636,0.258140829390481,0.38354154439507,0.0799672489082969,0.332501606744547,0.276886877828054,0.0516493873704053,0.0125699526474387,0.287452725822635,0.474410263484619,0.367589980955136,0.173603225073813,0.0265687759267795,0.364011287171695,0.194824239810222,0.27929717341482,0.393090026790679,0.0688577667344327,0.0921256788207913,0.0190821784965746,0.106996759283855,0.059996460385818,0.136463807424987,0.0297637502325293,0.0385064682213473,0.00552434456928839,0.038035584604212,0.0226856561546287,0.0818787686448746,0.0519774512850104,0.158737253806398,0.0377867746288799,0.106901217861976,0.0167198662410701,0.054988475469213,0.0587377933245883,0.218884120171674,0.177851312596514,0.252840336134454,0.0839241676942047,0.082996580665216,Bacteroidales
5,0,0,0.00313265592995703,0,0,0,0,0,0.000312469485401816,0,0,0.00111887473169841,0,0,0,0,0,0,4.82036120573302e-05,0,0,0,0,0,0.168069643417338,0.0791522809079556,0.0265794600612302,0.0424247505659428,0.0352529112081514,0.0509243506861744,0.0217556561085973,0.28746465598492,0.406328024106759,0.0342689546939721,0.00827700372465168,0.0492273571032521,0.208749716102657,0.21159544347139,0.0514796324433833,0.0167780892818633,0.0806417112299465,0.085300510539352,0,0,0,0,0,0.000305136463807425,0,0,0,0,0,0,0,0,0.000311429461227032,0,0,0,0,0,0,0.000336134453781513,0.000462392108508015,0,Bifidobacteriales
6,0.0108410389737804,0.0550958983464934,0.0556448050122495,0.0182640398233191,0.110391724930562,0.0873624681542036,0.04645731199704,0.0230845795008934,0.0221462747778537,0.0498502780550406,0.0509837379456553,0.0332465634561812,0.127872272143774,0.0564529628389689,0.0508434145510308,0.0516510343055377,0.0617080941404472,0.01381577578494,0.0773507294813291,0.0773546211081168,0.0215859607154204,0.027670183874271,0.0883859691417551,0.0275039140185334,0,0.00484830676559171,0.006818814361258,0.0116961515888321,0.00864264919941776,0.009942913311406,0.00571945701357466,0,0,0.00527412591010831,0.00820802869361291,0.0107760179359225,0.00468430615489439,0,0.0140727877867014,0.00511106318740565,0,0.00641965323762827,0.021835705142685,0.129048681148177,0.0682578909500422,0.0371354194336716,0.135508229602973,0.192642820817088,0.154244434798785,0.138233894345174,0.0333801498127341,0.0111655773420479,0.27029501525941,0.0831482069184386,0.12774646011807,0.144210085207431,0.127374649641856,0.254736129905277,0.0538455692354461,0.114037976072879,0.232764903075353,0.0893167845957546,0.107125523935583,0.0610420168067227,0.238131935881628,0.273173764376749,Burkholderiales
7,0.00846189693654804,0.012354074577808,0.00437768585083738,0.00778237397461964,0.00524853941193372,0.0119684201685378,0.00783923781333827,0.00868220029020614,0.00828044136314813,0.0138029374019678,0.00111171436696916,0.00981869662510846,0.00622593068035943,0.00993890190826917,0.0107343670131198,0.00444191553018483,0.000748777730469381,0.00678304654501571,0.00446686805064593,0.0058643073846206,0.00809239912534808,0.00529807221405993,0.00678037608486017,0.00767993906825202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117084556885777,0.00930954228083786,0.000969750054743955,0.00223131275567125,0.000265471063654062,0.0123410747584336,0.00372046877906616,0.0106000951845282,9.36329588014981e-05,0.0044480755265069,0.00590030518819939,0.00634719136781974,0.00328465533312619,0.0110350607626764,0.00742240215924426,0.0020297699594046,0.00170998632010944,0.0066952036000439,0.00145751348199971,0.0124115531840854,0.00308846238694022,0.0109579831932773,0.0126387176325524,0.00571961454771526,Campylobacterales
8,0.000564126462436536,0.00572997342803531,0.00704847584240331,0.0190002103344317,0.0129297959965521,0.0286122231865394,0.0189852927573767,0.00796268092913933,0.00408163265306122,0.0374732639384001,0.0051449106750433,0.00280860391834498,0.0240853658536585,0.0115709742216271,0.00790594649855171,0.0110864338026101,0.00534421752727166,0.00549301928798818,0.00321357413715534,0.0055253300791512,0.00304633038667838,0.00532033302168203,0.0266092092574735,0.0139423687217027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240945711919283,0.00126066718386346,0,0.00122190936620092,0.000766916406111734,0.00172910662824207,0.00573572270106033,0.00588413446977891,0.00117041198501873,0.000907770515613653,0.00244150559511699,0,0.00275200852234897,0.00223494901522559,0.00124571784490813,0.0007893549842129,0.000607995136038912,0.000603665898364614,0.000728756740999854,0,0.000485329803662034,0.000470588235294118,0.00547163995067818,0.00211377059372086,Cardiobacteriales
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106515830456182,0.00622738658502644,0,0,0.000642697818607992,0.0376470588235294,0,0.000344382264313388,0.0135069078185701,0.00289695130362809,0.000241074226754418,0.00261185555303202,0.000296306051228024,0.00101295130598365,0.0125512184602113,0.00131398013750955,0.00318455239346914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christensenellales
10,0,0.00180084879166824,0,0.00105167215873238,0.00335216933243942,0.00944875276463507,0.005364906114143,0.0136588758709182,5.85880285128405e-05,0.00761443034364751,0,0.00678175092478422,6.41848523748395e-05,0.00351523267492467,0.00149940364627705,0.00462546575870487,0,0.00915503214664697,0.00250658782698117,0.00510160844731445,0.010279028912105,0.000801389074395619,0.000180810028929605,0.012947996445648,0,0.00121207669139793,0,0,0,0,0,0.0248444863336475,0,0.00913324242969976,0,0,0.00130592777651601,0.0179429775465859,0.00115765863540988,0.00614621522536123,0.00137509549274255,0,0,0.00118793638479441,0,0.00159379482547947,0.000707922836410831,0.00115273775216138,0.000930117194766541,0.00199022195301346,0,0.000635439360929557,0,0.00396699460488734,0,0.00961028076547004,0,0.009021199819576,0,0.00290857205575678,0,0.00893167845957546,0.000838296933598059,0.00826890756302521,0.00362207151664612,0,Clostridia UCG-014
