,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Class
1,0.103210615388389,0.0374148374828416,0.0547612353909796,0.203708897146463,0.105430514318552,0.0792435398527394,0.175030061973915,0.0518293779755124,0.069329167073528,0.0798802224440325,0.0372295043822229,0.0476549298990729,0.0540275994865212,0.0498828255775025,0.182552393934231,0.0324516804023421,0.0840099249754078,0.0627535839870165,0.024824860209525,0.0299994915340418,0.0393406470181472,0.0714571924669427,0.213898264223722,0.0626242965345068,0.168226497960891,0.0800337912289723,0.0265776107980241,0.0424247505659428,0.035707787481805,0.0512267967184606,0.0218561468155052,0.289500471253534,0.406973740852346,0.0343639076084161,0.00827500603385857,0.0493237867939539,0.208769689229459,0.213241588200435,0.0516530420313969,0.0170134770889488,0.0810084033613445,0.0854666296024867,0.152473458323921,0.0857773037956275,0.0678697651143152,0.0987090261913616,0.0515603799185889,0.107882691981692,0.11462144230173,0.146776702385067,0.20374531835206,0.0438214480130648,0.193184130213632,0.0683513170422088,0.0494917661680501,0.0681805516857063,0.138916256157635,0.0674334686513306,0.106627146982824,0.07254966523982,0.110042267890978,0.0281869852685303,0.0422895444723729,0.0849677592692101,0.140735610957218,0.128629157600249,Actinobacteria
3,0.275759731181477,0.256274635737404,0.389614040724527,0.162097735399285,0.297174600134087,0.232411321705535,0.205300157247248,0.182362182062382,0.177072551508642,0.119863111364609,0.321363013521549,0.179156962140933,0.299069319640565,0.258432373619016,0.186403135116715,0.385583965052037,0.531309186475019,0.259815650943592,0.300951217944598,0.258521042016237,0.258302651989459,0.404545656916433,0.285709980713597,0.244361697626201,0.019998954303043,0.0887019760523029,0.0553468308634245,0.0492160643917163,0.0453511644832606,0.0187894597557748,0.0279614175788447,0.101413760603205,0.034997847610848,0.0466845002314934,0.0324793986828949,0.0457799956606639,0.017170427132113,0.0446763679462698,0.0453591839687477,0.0139083557951482,0.0304354469060351,0.0360364913699426,0.469241773962804,0.477313490716952,0.729427954836894,0.52106465494342,0.670933868208365,0.354839803356501,0.530228808829913,0.443008987210508,0.651076779026217,0.77699147160225,0.341810783316378,0.516978736908918,0.58582271738648,0.351379214265812,0.517293233082707,0.425913396481732,0.683424532603739,0.600537811436725,0.463052033231307,0.292425472682983,0.496538342814305,0.268605588393337,0.337796244998461,0.366739198010569,Bacilli
4,0.0702214809546001,0.214892893573614,0.0842604120647416,0.209282759587745,0.135523417297194,0.178112489151432,0.135972620479142,0.203276211490724,0.0740162093545552,0.260031370312277,0.0584813464670752,0.194615700780929,0.202727856225931,0.208131067961165,0.151473845629579,0.148583909986968,0.0667146275931935,0.229354362164749,0.16610964714956,0.223504686361248,0.229184966452987,0.11689150082365,0.0891092092574735,0.16438877840308,0.349759489699885,0.170204951149636,0.258122869268768,0.38354154439507,0.0799672489082969,0.332501606744547,0.276326722300495,0.0516493873704053,0.0125699526474387,0.287386182416791,0.474295762507327,0.367589980955136,0.173549027955158,0.0265687759267795,0.363958619691818,0.194803234501348,0.27929717341482,0.39304035783781,0.0850839545214969,0.146856367249988,0.028805554686767,0.137703872921426,0.0742729042534364,0.186099338870995,0.0515905004030508,0.100198755617007,0.0522940074906367,0.0514425694066413,0.0515768056968464,0.0969533481434465,0.155088996404634,0.183115073836723,0.0789214415348717,0.115133062697339,0.0327937376500988,0.0897267039841949,0.0664626147791867,0.226191857093145,0.189884023459893,0.262829124126814,0.127039088950446,0.112962387317376,Bacteroidia
6,0.0401020333079885,0.0295691815583009,0.0277922808144905,0.0829769333239851,0.026702423139546,0.0511912427559562,0.0226621034131903,0.0559786062909976,0.0158382970413046,0.0436332525310138,0.0292665270560252,0.0262593049276157,0.00949935815147625,0.0389604954804151,0.0245356960299881,0.036948661001083,0.00129200863296677,0.0430078441979984,0.0187512050903014,0.0335079066456501,0.0450969032089259,0.0310983482480744,0.0140127772420444,0.0965175813481149,0.457570845968838,0.63641372217733,0.634662213873235,0.486375450658171,0.790938864628821,0.429964840648747,0.491167226617535,0.535532516493874,0.44532931554025,0.533206440660528,0.458469813467572,0.491188737012126,0.576756066411239,0.647428721933232,0.475150112131954,0.736690026954178,0.577387318563789,0.398877966187359,0.0197274301633913,0.0146395850501721,0.00193913614612329,0.0185942729639271,0.00489646628517492,0.0204780471266316,0.00558070316859924,0.0171102661596958,0,0.00725821085102522,0.0106815869786368,0.0141621707394478,0.00217497447734032,0.0408191696851491,0.00689655172413793,0.0188317546233649,0.000911992704058368,0.0188782790034025,0.00174901617839965,0.0615937826238255,0.00639414384618777,0.0581004836109619,0.0240843336411203,0.00969847684177805,Clostridia
7,0.00191312452478477,0.000340020401224073,0.0004618659383911,0,0,0,0,0.00417321229418748,0.00581974416560883,0.00022814772565236,0,0.00401881536283509,0,0,0,0.000238615297076045,0,0.00235117871038888,0,0.000254232979102049,0,0.00485285606161792,0.000150675024108004,0.000126941141624,0.000810415141691938,0.0105781238522001,0.0109580463368817,0.00243145803638803,0.0239264919941776,0.0381460058220861,0.0317907590043712,0.00961357210179076,0.0860525182953078,0.0449097175780647,0.0109299038030549,0.00887153154456257,0.00181637576273592,0.0507671034437348,0.0254648050350865,0.0188247978436658,0.0117647058823529,0.0210254984711026,0.00135531962954597,0.000460516748267003,0,0,0.000117987139401805,0,0,0.000172830971310059,0,0.00208673561966975,0,0.000714059028879721,0,0.000222903315686821,0,0,0.000493996048031616,0.000219514872132587,0,0.00858369098712446,0,0.0100080601826975,0,0,Coriobacteriia
9,0.236908586985848,0.180714546576498,0.0717699506004257,0.170651335623642,0.136404558950292,0.199347686105434,0.250416242715752,0.197699936442456,0.186934869641637,0.23433623271068,0.218154554150831,0.134013791843632,0.0854621309370988,0.125230164044191,0.172772192877833,0.148125034415668,0.0726608036880974,0.174653045088533,0.141413329905521,0.212708259182048,0.199712187190461,0.166978317973376,0.125301350048216,0.281322726695722,0,7.34591934180563e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154280551163316,0.0532745164574143,0.00481656397585463,0.0470700738458269,0.00988142292490119,0.0402441091710459,0.0408631487567434,0.0577687521603871,0.0098314606741573,0.0338414080929051,0.0452695829094608,0.103974928594097,0.0112299702605531,0.104346614655893,0.0411718952553798,0.0313486693730266,0.00611795105639155,0.0281527823510043,0.0263809940241947,0.0781811854773228,0.0631917802178419,0.063742611499194,0.0539396737457679,0.0242461921044451,Fusobacteriia
10,0.0140050526109244,0.0854836475373708,0.0927145668500743,0.0518123816868821,0.170481754621205,0.146462666927966,0.0931921191379151,0.0449100001199199,0.0318718875109853,0.111079423926993,0.106517748649138,0.0465588893455725,0.240532734274711,0.0826916638767995,0.0756517294257966,0.144252124593895,0.150019820586983,0.0333534466615343,0.104923195578122,0.119370858121049,0.0520866428691573,0.0577222741641067,0.143533027965284,0.0616299242584522,0.00235281815329917,0.00804378167927716,0.00859249982606276,0.0139180011738073,0.013009461426492,0.0141393520093758,0.00570788627578483,0.00791705937794534,0.00111924235901851,0.0122948711353465,0.00951625693893735,0.0110653070080278,0.00797502483326238,0,0.0146133256167257,0.00616711590296496,0.00302521008403361,0.0145055722625155,0.0385889616745727,0.151267632943914,0.0997716823569887,0.0900494076395899,0.161494897056221,0.234039667740295,0.210423513362684,0.175812305565157,0.0416198501872659,0.0185991653057521,0.303662258392675,0.0934227229450968,0.174353056061077,0.166954583449429,0.16603577910293,0.272891294542174,0.113809089527284,0.136538250466469,0.243696254190351,0.0959285465723234,0.145918772324382,0.0750940354648039,0.26061865189289,0.310972956170345,Gammaproteobacteria
14,0.24595913762233,0.171962169582027,0.266215510663079,0.070567201850943,0.115965903649076,0.0674011030543968,0.0544584219776154,0.198083680101692,0.423200859291085,0.095080564665621,0.226996561441609,0.347330684568662,0.0924903722721438,0.194174757281553,0.192673368546601,0.0881591747581726,0.0813231342954883,0.16062920039117,0.230236519056495,0.0879815596345825,0.144261498495524,0.135212145496639,0.117647058823529,0.0435831252909068,0.00128097877235177,0.00576654668331742,0,0.0175232665381068,0.0107350800582242,0.0762920116441722,0.0372818901051263,0.00399622997172479,0.00602668962548429,0.0173362827305931,0,0.02237168824281,0.00729388392223641,0.0168565220254165,0.0223178760037618,0.0061455525606469,0.0160733384262796,0.0431881933739355,0.0652435810556434,0.0555286247515633,0.0663997748099959,0.074748977314987,0.0262226417320512,0.0395999321918969,0.0400260432814535,0.0416954718285517,0.0413389513108614,0.0146978769733261,0.0477110885045778,0.0973103776578864,0.014381463890985,0.0621621621621622,0.0423126782473425,0.0506314839873703,0.0539595683234534,0.0420919767314236,0.0711266579215858,0.173645748753045,0.0501830048066323,0.141859215475551,0.0270852570021545,0.0364314578800124,Negativicutes
15,0.00259988717470751,0.0103895122596245,0.00674725892606129,0.0204725513566571,0.00444401877214826,0.0293541252554663,0.0425492553880307,0.0491791483289163,0.0075187969924812,0.0341366034507343,0.000879029964580263,0.00927067634835822,0.00434852374839538,0.0300887177770338,0.00276026580337366,0.00818634019199354,0.010805890384813,0.0245729385572502,0.00682884504145511,0.0258131218114947,0.022819444184873,0.00456346556253061,0.00274228543876567,0.0265095417424787,0,0,0,0,0,0,0,0.000377002827521206,0.00012914334911752,0,0,0,0,0,0,0,0,0,0.0021835705142685,0.00392651122206602,0,0.000637517930191787,0,0.00108492964909307,0.000806101568797669,0.00298133425509851,0,0.0436399927417891,0,0,0.00142039149540592,0.00732794650320424,0.00077780658542909,0.0107126747857465,0.000151998784009728,0.00225002743935902,0.015012388864597,0.0196032942814059,0.00207258455704017,0.0198817839871037,0.0059248999692213,0.00385452284737333,Saccharimonadia
