,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Genus
44,0.0102743985869592,0.0394144433867607,0.0302427377636291,0.0311629085381302,0.0434902014634051,0.0554375092223698,0.0670911930794185,0.0480071997942916,0.0454778123400402,0.107551627849888,0.0133091662351113,0.0215560553136514,0.0457868537350704,0.0307849399291751,0.0493888221578464,0.0237078374428184,0.0175955711827635,0.0280948770713744,0.0370687340582629,0.0320254803822057,0.0221975149706439,0.0248138957816377,0.0437143550539983,0.0264921233636565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132949774529622,0.0201937786843447,0.00810477857744926,0.0233496684923609,0.0112668230645759,0.0445510374650242,0.0182858646319805,0.0413836253128352,0.00372475985100961,0.00820980615735462,0.0278122415219189,0.0131733021077283,0.0144637185438554,0.0243362131713029,0.0297456609540443,0.0048177887584929,0.0088436705145764,0.0113020412870488,0.00712250712250712,0.00696731694958196,0.0106388242862091,0.00941126521369941,0.0245118065201405,0.016774963532688,Capnocytophaga
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100224838992416,0.0094022594022594,0,0.0235451938199648,0.0381798348137759,0.0264331874087972,0,0.083257328990228,0.0464442028379471,0.00871135663444173,0.00717367312130029,0,0.0413317639145788,0.0254665774407019,0.0170323456231622,0.0111937965105372,0.0201530088313822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collinsella
62,0.0568201607085106,0.018935398389462,0.0170272477852012,0.0895797893517681,0.0294838848892638,0.0469086616496975,0.1131322840322,0.00906402674209308,0.0216167263850061,0.0343060541900641,0.0187985499741067,0.0119383702569501,0.0101693801442442,0.0238110756262356,0.126333639511058,0.00801017405994344,0.00555098376599087,0.0257121195711036,0.00521882131829776,0.0134052010780162,0.0104355628376929,0.0245634803196212,0.0613699793714355,0.0287108941646328,0,0,0,0,0,0,0.000166770898478216,0,0,0.000111510691087508,0,0.000100331092605598,0,0,0,6.78579506898892e-05,0,0,0.0446275851345047,0.0216726160122387,0.00197756597289762,0.00270971461516287,0.00929127052722558,0.0412078927286602,0.0228573307899757,0.0164015016088666,0.025240148990394,0.0191562143671608,0.127274607113317,0.0231682837069254,0.00693867578793061,0.0183866578056268,0.0204126187097478,0.007041383570105,0.00277832126785365,0.013262599469496,0.00395694840139285,0.000506713959969597,0.00776881587411549,0.00962354939145202,0.0566222730615246,0.0210184325686249,Corynebacterium
82,0,0,0,0,0,0,9.61191877928631e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212352869797355,0,0.113910831436605,0.14618345337449,0.0901615901615902,0.0965976582385882,0.114719215468591,0.072035218949665,0.0797581821972066,0.0184761978541271,0.0505103148751357,0.0416492431211842,0.125571018803782,0.156892746062005,0.061239948723925,0.106911047587019,0.0761394899249015,0.148541054060167,0.126258520417735,0.11275415896488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
91,0.0493569171828743,0.0589544366976254,0.029656313485664,0.0619276846791415,0.0527885124664064,0.116806846687325,0.0610116544515199,0.0970300848547184,0.00259873213371658,0.122802172512197,0.0488348006214397,0.0614622709220537,0.0458525686309944,0.0369984140433205,0.0549000211969194,0.0957424596169542,0.0138250916435999,0.0441026751868299,0.0464827493623305,0.0853487802317035,0.0842452259738233,0.0534067885355249,0.049174857420216,0.161992456179277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283781682475509,0.00604283528811831,0.00087531608636452,0.010319976938599,0.00154340041980491,0.00203495766561285,0.00236795369335,0.0106810868787987,0.0002940599882376,0.0266818700114025,0.00310173697270471,0.0118768819003011,0,0.000569638279692395,0.00180111341556599,0.0103767757875232,0.000117393856388182,0.00449775112443778,0.00237416904083571,0,0.00316690583403434,0.0136569487687518,0.0216520957594575,0.00430977323962339,Fusobacterium
93,0.0149016095728537,0.0319792122256811,0.0102833685886024,0.0175540193275182,0.0244620122800479,0.0191972849343367,0.0186711522287637,0.0334404731293392,0.00149623971335197,0.010862560986836,0.00973588814085966,0.0057897507057754,0.0315760074914981,0.0369549631753894,0.0270260722108387,0.0466184537706661,0.0324680182539089,0.0474168742553883,0.00696402201637804,0.0380455706835603,0.0280687381746543,0.0536116739135384,0.0191420944060187,0.0472820057688041,0,0.000228649822796387,0,0.000127269641948074,0.000231288740864095,0.000194795075580489,0,0.000658480845954216,0,0,0,0.000200662185211197,0,0,0.000371774853148933,0,0,0.000128363113575683,0.019553724148655,0.0366394696583376,0.0231796667315049,0.0963390025944076,0.093283121373009,0.053308623133108,0.0537065052950076,0.0580979621022524,0.00911585963536561,0.053363740022805,0.00196443341604632,0.0225409836065574,0.0632787686293672,0.048957245482452,0.0764108721755267,0.0796788140827671,0.0532576795147721,0.0904163302963903,0.0169357391579614,0.0239422346085635,0.0596763818100846,0.0167704500424568,0.0273715172808236,0.0491314149317067,Gemella
95,0.0106226832848222,0.0205047724407626,0.00797955892516807,0.013608889210612,0.0222257096337564,0.0326102995425705,0.0186711522287637,0.00995114425302134,0.00978462023073591,0.0141765626438369,0.0142931123770067,0.0145222259438251,0.0442589824048366,0.0563775011405853,0.0137426693987141,0.0703452726686028,0.0311962295204608,0.0170475468428463,0.0502919855014096,0.030555458331875,0.0576979343437299,0.041546201652742,0.0127411721878413,0.0157532726869314,0,0,0.000393250393250393,0.000169692855930765,0.000508835229901008,0,0,0,0.000825190010857763,0,0.000106236056517582,0.000175579412059797,5.82682671017364e-05,0.000437195224482933,0.00044612982377872,0,0,0,0,0,0,0.00386278466416835,0.00138906037782442,0,0,0.00384340364676439,0,0,0,0,0,0,0.000927846304988538,0,0,0,0,0,0,0,0,0,Granulicatella
96,0.0025872577555539,0.0133654068795184,0.0286510147234381,0.00948278982228818,0.0275418325911686,0.0171314741035857,0.0230205454763907,0.0086783234764721,0.00568964838366736,0.00868391174936328,0.0435007767995857,0.00612469496148141,0.0624291511278319,0.00701731517087054,0.0117642902564827,0.0661503710874476,0.0653250542380489,0.00530705079605762,0.0199691233722647,0.0236603549053236,0.0258060740827433,0.0195779361212921,0.0215689843465599,0.0101619702684713,0.000160664078189851,0.00323920582294882,0.001001001001001,0,0.000370061985382552,0.000973975377902447,0,0,0,0,0.000389532207231134,0.000300993277816795,0.000291341335508682,0,0,0.000294051119656186,0.00109436558063911,0.00192544670363524,0.00583113046182553,0.0172106068332483,0.0325487907670362,0.0486595560680311,0.01882948512162,0.0391002580035612,0.0497599158060909,0.0138541294243833,0.00740050970397961,0.00661345496009122,0.0289495450785773,0.00664938106390097,0.0414365990715856,0.0151587075540365,0.0386420696430521,0.0169240271772699,0.0487967129720211,0.0142428785607196,0.0110794555239,0.00506713959969597,0.0423078826265525,0.0117463911689782,0.0138083176730125,0.036268399416523,Haemophilus
106,0.00840858770555017,0.0192827188762253,0.0145349446038495,0.00477758876542763,0.00561037330560841,0.00221336874723329,0.00641595578517362,0.0119310876832091,0.0136039689727133,0.00905213415569671,0.00466079751424133,0.0048806162974305,0.00931508649723176,0.0137739251341546,0.00996255210909348,0.0013856462236395,0.013974713847535,0.00155962309108632,0.0110249697946033,0.000525007875118127,0.0073341525737804,0.00346028638422838,0.00539983011770416,0.000643443532283115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161716684807961,0.0106578276389597,0.00599753614731246,0.00461228019602191,0.0070996419311026,0.00334314473636397,0.0148983753206604,0.0219878441186986,0.0128896294844148,0.00182440136830103,0.00299834574028122,0.00970224155235865,0.00596139750794039,0.025918541726004,0.0091693046610632,0.00654725138974676,0.00583056153394639,0.0034021450813055,0.0189933523266857,0.000633392449961996,0.0047998416547083,0.00106142088876309,0.00392188904322249,0.00616629094284578,Kingella
108,0.0254496604224196,0.0146646427744475,0.00462856305108174,0.0225125773643635,0.0143005669223375,0.0166002656042497,0.00221074131923585,0.0176523527899203,0.0147261487577273,0.00914418975728006,0.0195235629207664,0.0111010096176851,0.00382789268757496,0.0171196419648482,0.0182646788666714,0.00778239659852324,0.000359093289444153,0.0152713094335536,0.00635991408242717,0.00659759896398446,0.0131273528780697,0.00887836638058597,0.00743235044290741,0.0111604171289106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333851656041,0.0068332483426823,0.000745639629125332,0.00778322283078697,0.00321027287319422,0.00774010683527744,0.00263105965927777,0.00719520915266357,0,0.00250855188141391,0.0032051282051282,0.00556206088992974,0.0017102369899829,0.0120573435868224,0.00392970199759852,0.00370599135268684,0.000782625709254549,0.00720793449429132,0,0.00443374714973398,0.00291949131575041,0.00693461647325219,0.00433041915189149,0.0048402068691155,Lachnoanaerobaculum
