"studygrp2","trajectory","n","pct","total","traj_label"
"Grp1","WNL_WNL",221,76.4705882352941,289,"WNL -> WNL"
"Grp1","CIN2_WNL",10,3.46020761245675,289,"CIN2+ -> WNL"
"Grp1","WNL_CIN2",29,10.0346020761246,289,"WNL -> CIN2+"
"Grp1","CIN2_CIN2",29,10.0346020761246,289,"CIN2+ -> CIN2+"
"Grp2","WNL_WNL",145,78.3783783783784,185,"WNL -> WNL"
"Grp2","CIN2_WNL",8,4.32432432432432,185,"CIN2+ -> WNL"
"Grp2","WNL_CIN2",13,7.02702702702703,185,"WNL -> CIN2+"
"Grp2","CIN2_CIN2",19,10.2702702702703,185,"CIN2+ -> CIN2+"
